Candidato;Partido;Número de Votos;Percentual
JOSÉ CICERO DE OLIVEIRA;PSDB;6;
ROSA MARIA DA SILVA SANTOS;PSDB;1;
GENALDO CRISTOVÃO DOS SANTOS;PSDB;1;
LUIZ EDUARDO MARQUES DA SILVA;PSDB;3;
VOTO BRANCO;branco;4;
VOTO NULO;NULO;4;
MARCOS JOSE HERCULANO DA SILVA;PTB;143;
ADELMO ZEFERINO DE SOUZA JUNIOR;MDB;150;
THOMAS HENRIQUE PEIXOTO LEITE;PSDB;24;
VOTO BRANCO;branco;3;
WILLIAM BIZERRA DOS SANTOS;MDB;18;
SIDIANE MARIA LIMA DA SILVA;MDB;1;
GIBSON BUARQUE DE MELO;MDB;18;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;11;
SONIA MARIA DA SILVA;MDB;20;
MANOEL ELIAS DE MELO CALHEIROS;MDB;12;
ADEMIR SAMPAIO DE OLIVEIRA;PTB;1;
WILLIAM BIZERRA DOS SANTOS;MDB;12;
LOURIVAL DOS SANTOS LIMA;PTB;4;
DAIANA SILVA DE SOUSA;PTB;4;
DAIANA SILVA DE SOUSA;PTB;12;
VOTO NULO;NULO;9;
LEVI JOSÉ DA SILVA;PTB;3;
LOURIVAL DOS SANTOS LIMA;PTB;2;
PRISCILA FERNANDES GOMES;PTB;7;
SUYANNE VALERIO DE LIMA;PTB;1;
EVERALDO FERREIRA DE LIMA;PTB;2;
ARY CLEYTON DE CARVALHO REGO;MDB;17;
MANOEL LUIS SANTOS DA SILVA;MDB;20;
EGUIMAR FERREIRA DA SILVA;MDB;12;
MARIA DE FATIMA DE ARAUJO FREITAS;MDB;3;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;6;
WILLIAM BIZERRA DOS SANTOS;MDB;9;
SIDIANE MARIA LIMA DA SILVA;MDB;3;
GIBSON BUARQUE DE MELO;MDB;9;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;8;
SONIA MARIA DA SILVA;MDB;12;
MANOEL ELIAS DE MELO CALHEIROS;MDB;17;
ARNALDO BENTO DA SILVA FILHO;PTB;1;
GERALDO DOS SANTOS;PTB;14;
JOSÉ CARLOS SILVA MONTEIRO;PTB;1;
ROZILENE RODRIGUES GOMES ALBUQUERQUE;PTB;2;
MARIA JOSÉ DE AZEVEDO BISPO;PTB;1;
INALDO GONÇALVES DA SILVA;PTB;3;
ISAEL RIBEIRO DOS SANTOS;PTB;7;
CLEIDE JANE DOS SANTOS;MDB;3;
ARNALDO BENTO DA SILVA FILHO;PTB;1;
INALDO GONÇALVES DA SILVA;PTB;3;
VOTO NULO;NULO;12;
MARCOS JOSE HERCULANO DA SILVA;PTB;154;
ADELMO ZEFERINO DE SOUZA JUNIOR;MDB;120;
ISAEL RIBEIRO DOS SANTOS;PTB;9;
LEVI JOSÉ DA SILVA;PTB;5;
LOURIVAL DOS SANTOS LIMA;PTB;3;
DAIANA SILVA DE SOUSA;PTB;10;
PRISCILA FERNANDES GOMES;PTB;6;
SUYANNE VALERIO DE LIMA;PTB;2;
EVERALDO FERREIRA DE LIMA;PTB;3;
ARY CLEYTON DE CARVALHO REGO;MDB;11;
MANOEL LUIS SANTOS DA SILVA;MDB;17;
EGUIMAR FERREIRA DA SILVA;MDB;16;
MARIA DE FATIMA DE ARAUJO FREITAS;MDB;4;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;7;
WILLIAM BIZERRA DOS SANTOS;MDB;18;
SIDIANE MARIA LIMA DA SILVA;MDB;4;
GIBSON BUARQUE DE MELO;MDB;23;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;10;
SONIA MARIA DA SILVA;MDB;13;
MANOEL ELIAS DE MELO CALHEIROS;MDB;14;
ADEILSON DE ARAUJO VIEIRA;MDB;14;
CLEIDE JANE DOS SANTOS;MDB;3;
ARY CLEYTON DE CARVALHO REGO;MDB;11;
DAIANA SILVA DE SOUSA;PTB;5;
SUYANNE VALERIO DE LIMA;PTB;5;
EVERALDO FERREIRA DE LIMA;PTB;2;
MANOEL LUIS SANTOS DA SILVA;MDB;15;
ROSIETE DE ARAUJO SILVA;MDB;1;
EGUIMAR FERREIRA DA SILVA;MDB;34;
MARIA DE FATIMA DE ARAUJO FREITAS;MDB;9;
MARIA ALESSANDRA PANTALEÃO DOS SANTOS;MDB;8;
WILLIAM BIZERRA DOS SANTOS;MDB;10;
GIBSON BUARQUE DE MELO;MDB;21;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;18;
SONIA MARIA DA SILVA;MDB;15;
MANOEL ELIAS DE MELO CALHEIROS;MDB;10;
ADEILSON DE ARAUJO VIEIRA;MDB;27;
CLEIDE JANE DOS SANTOS;MDB;6;
JOSÉ RENATO DOS SANTOS;MDB;7;
DJALMA DA ROSA CALHEIROS;MDB;19;
JOSÉ WILLIAMS ALMEIDA DOS SANTOS;MDB;4;
JOSÉ CARLOS SILVA MONTEIRO;PTB;1;
SIDIANE MARIA LIMA DA SILVA;MDB;2;
GIBSON BUARQUE DE MELO;MDB;16;
MANOEL CARLOS RODRIGUES CALHEIROS;MDB;14;
SONIA MARIA DA SILVA;MDB;12;
ARY CLEYTON DE CARVALHO REGO;MDB;17;
MANOEL LUIS SANTOS DA SILVA;MDB;27;
EGUIMAR FERREIRA DA SILVA;MDB;18;
